"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Panama","2019","Total","Both Sexes","0 - 4","Estimate - de facto","Provisional figure","2019","369996","3"
"Panama","2019","Total","Both Sexes","1","Estimate - de facto","Provisional figure","2019","73977","3"
"Panama","2019","Total","Both Sexes","1 - 4","Estimate - de facto","Provisional figure","2019","295813","3"
"Panama","2019","Total","Both Sexes","2","Estimate - de facto","Provisional figure","2019","73936","3"
"Panama","2019","Total","Both Sexes","3","Estimate - de facto","Provisional figure","2019","73968","3"
"Panama","2019","Total","Both Sexes","4","Estimate - de facto","Provisional figure","2019","73932","3"
"Panama","2019","Total","Both Sexes","5","Estimate - de facto","Provisional figure","2019","73955","3"
"Panama","2019","Total","Both Sexes","5 - 9","Estimate - de facto","Provisional figure","2019","367710","3"
"Panama","2019","Total","Both Sexes","6","Estimate - de facto","Provisional figure","2019","74130","3"
"Panama","2019","Total","Both Sexes","7","Estimate - de facto","Provisional figure","2019","73809","3"
"Panama","2019","Total","Both Sexes","8","Estimate - de facto","Provisional figure","2019","73121","3"
"Panama","2019","Total","Both Sexes","9","Estimate - de facto","Provisional figure","2019","72695","3"
"Panama","2019","Total","Both Sexes","10","Estimate - de facto","Provisional figure","2019","72714","3"
"Panama","2019","Total","Both Sexes","10 - 14","Estimate - de facto","Provisional figure","2019","363266","3"
"Panama","2019","Total","Both Sexes","11","Estimate - de facto","Provisional figure","2019","72715","3"
"Panama","2019","Total","Both Sexes","12","Estimate - de facto","Provisional figure","2019","72693","3"
"Panama","2019","Total","Both Sexes","13","Estimate - de facto","Provisional figure","2019","72612","3"
"Panama","2019","Total","Both Sexes","14","Estimate - de facto","Provisional figure","2019","72532","3"
"Panama","2019","Total","Both Sexes","15","Estimate - de facto","Provisional figure","2019","72389","3"
"Panama","2019","Total","Both Sexes","15 - 19","Estimate - de facto","Provisional figure","2019","359157","3"
"Panama","2019","Total","Both Sexes","16","Estimate - de facto","Provisional figure","2019","72189","3"
"Panama","2019","Total","Both Sexes","17","Estimate - de facto","Provisional figure","2019","71940","3"
"Panama","2019","Total","Both Sexes","18","Estimate - de facto","Provisional figure","2019","71614","3"
"Panama","2019","Total","Both Sexes","19","Estimate - de facto","Provisional figure","2019","71025","3"
"Panama","2019","Total","Both Sexes","20","Estimate - de facto","Provisional figure","2019","70238","3"
"Panama","2019","Total","Both Sexes","20 - 24","Estimate - de facto","Provisional figure","2019","342939","3"
"Panama","2019","Total","Both Sexes","21","Estimate - de facto","Provisional figure","2019","69725","3"
"Panama","2019","Total","Both Sexes","22","Estimate - de facto","Provisional figure","2019","68825","3"
"Panama","2019","Total","Both Sexes","23","Estimate - de facto","Provisional figure","2019","67734","3"
"Panama","2019","Total","Both Sexes","24","Estimate - de facto","Provisional figure","2019","66417","3"
"Panama","2019","Total","Both Sexes","25","Estimate - de facto","Provisional figure","2019","65749","3"
"Panama","2019","Total","Both Sexes","25 - 29","Estimate - de facto","Provisional figure","2019","321839","3"
"Panama","2019","Total","Both Sexes","26","Estimate - de facto","Provisional figure","2019","64983","3"
"Panama","2019","Total","Both Sexes","27","Estimate - de facto","Provisional figure","2019","64300","3"
"Panama","2019","Total","Both Sexes","28","Estimate - de facto","Provisional figure","2019","63499","3"
"Panama","2019","Total","Both Sexes","29","Estimate - de facto","Provisional figure","2019","63308","3"
"Panama","2019","Total","Both Sexes","30","Estimate - de facto","Provisional figure","2019","63028","3"
"Panama","2019","Total","Both Sexes","30 - 34","Estimate - de facto","Provisional figure","2019","310632","3"
"Panama","2019","Total","Both Sexes","31","Estimate - de facto","Provisional figure","2019","62641","3"
"Panama","2019","Total","Both Sexes","32","Estimate - de facto","Provisional figure","2019","62175","3"
"Panama","2019","Total","Both Sexes","33","Estimate - de facto","Provisional figure","2019","61626","3"
"Panama","2019","Total","Both Sexes","34","Estimate - de facto","Provisional figure","2019","61162","3"
"Panama","2019","Total","Both Sexes","35","Estimate - de facto","Provisional figure","2019","60615","3"
"Panama","2019","Total","Both Sexes","35 - 39","Estimate - de facto","Provisional figure","2019","297232","3"
"Panama","2019","Total","Both Sexes","36","Estimate - de facto","Provisional figure","2019","59957","3"
"Panama","2019","Total","Both Sexes","37","Estimate - de facto","Provisional figure","2019","59517","3"
"Panama","2019","Total","Both Sexes","38","Estimate - de facto","Provisional figure","2019","58965","3"
"Panama","2019","Total","Both Sexes","39","Estimate - de facto","Provisional figure","2019","58178","3"
"Panama","2019","Total","Both Sexes","40","Estimate - de facto","Provisional figure","2019","57886","3"
"Panama","2019","Total","Both Sexes","40 - 44","Estimate - de facto","Provisional figure","2019","284199","3"
"Panama","2019","Total","Both Sexes","41","Estimate - de facto","Provisional figure","2019","57472","3"
"Panama","2019","Total","Both Sexes","42","Estimate - de facto","Provisional figure","2019","56934","3"
"Panama","2019","Total","Both Sexes","43","Estimate - de facto","Provisional figure","2019","56300","3"
"Panama","2019","Total","Both Sexes","44","Estimate - de facto","Provisional figure","2019","55607","3"
"Panama","2019","Total","Both Sexes","45","Estimate - de facto","Provisional figure","2019","54831","3"
"Panama","2019","Total","Both Sexes","45 - 49","Estimate - de facto","Provisional figure","2019","265049","3"
"Panama","2019","Total","Both Sexes","46","Estimate - de facto","Provisional figure","2019","53991","3"
"Panama","2019","Total","Both Sexes","47","Estimate - de facto","Provisional figure","2019","53102","3"
"Panama","2019","Total","Both Sexes","48","Estimate - de facto","Provisional figure","2019","52159","3"
"Panama","2019","Total","Both Sexes","49","Estimate - de facto","Provisional figure","2019","50966","3"
"Panama","2019","Total","Both Sexes","50","Estimate - de facto","Provisional figure","2019","49091","3"
"Panama","2019","Total","Both Sexes","50 - 54","Estimate - de facto","Provisional figure","2019","230756","3"
"Panama","2019","Total","Both Sexes","51","Estimate - de facto","Provisional figure","2019","47615","3"
"Panama","2019","Total","Both Sexes","52","Estimate - de facto","Provisional figure","2019","46132","3"
"Panama","2019","Total","Both Sexes","53","Estimate - de facto","Provisional figure","2019","44677","3"
"Panama","2019","Total","Both Sexes","54","Estimate - de facto","Provisional figure","2019","43241","3"
"Panama","2019","Total","Both Sexes","55","Estimate - de facto","Provisional figure","2019","41832","3"
"Panama","2019","Total","Both Sexes","55 - 59","Estimate - de facto","Provisional figure","2019","195779","3"
"Panama","2019","Total","Both Sexes","56","Estimate - de facto","Provisional figure","2019","40451","3"
"Panama","2019","Total","Both Sexes","57","Estimate - de facto","Provisional figure","2019","39503","3"
"Panama","2019","Total","Both Sexes","58","Estimate - de facto","Provisional figure","2019","37913","3"
"Panama","2019","Total","Both Sexes","59","Estimate - de facto","Provisional figure","2019","36080","3"
"Panama","2019","Total","Both Sexes","60","Estimate - de facto","Provisional figure","2019","34300","3"
"Panama","2019","Total","Both Sexes","60 - 64","Estimate - de facto","Provisional figure","2019","155052","3"
"Panama","2019","Total","Both Sexes","61","Estimate - de facto","Provisional figure","2019","32598","3"
"Panama","2019","Total","Both Sexes","62","Estimate - de facto","Provisional figure","2019","30944","3"
"Panama","2019","Total","Both Sexes","63","Estimate - de facto","Provisional figure","2019","29360","3"
"Panama","2019","Total","Both Sexes","64","Estimate - de facto","Provisional figure","2019","27850","3"
"Panama","2019","Total","Both Sexes","65","Estimate - de facto","Provisional figure","2019","26409","3"
"Panama","2019","Total","Both Sexes","65 - 69","Estimate - de facto","Provisional figure","2019","118700","3"
"Panama","2019","Total","Both Sexes","66","Estimate - de facto","Provisional figure","2019","25031","3"
"Panama","2019","Total","Both Sexes","67","Estimate - de facto","Provisional figure","2019","23692","3"
"Panama","2019","Total","Both Sexes","68","Estimate - de facto","Provisional figure","2019","22442","3"
"Panama","2019","Total","Both Sexes","69","Estimate - de facto","Provisional figure","2019","21126","3"
"Panama","2019","Total","Both Sexes","70","Estimate - de facto","Provisional figure","2019","19899","3"
"Panama","2019","Total","Both Sexes","70 - 74","Estimate - de facto","Provisional figure","2019","88880","3"
"Panama","2019","Total","Both Sexes","71","Estimate - de facto","Provisional figure","2019","18816","3"
"Panama","2019","Total","Both Sexes","72","Estimate - de facto","Provisional figure","2019","17755","3"
"Panama","2019","Total","Both Sexes","73","Estimate - de facto","Provisional figure","2019","16715","3"
"Panama","2019","Total","Both Sexes","74","Estimate - de facto","Provisional figure","2019","15695","3"
"Panama","2019","Total","Both Sexes","75","Estimate - de facto","Provisional figure","2019","14704","3"
"Panama","2019","Total","Both Sexes","75 - 79","Estimate - de facto","Provisional figure","2019","64065","3"
"Panama","2019","Total","Both Sexes","76","Estimate - de facto","Provisional figure","2019","13734","3"
"Panama","2019","Total","Both Sexes","77","Estimate - de facto","Provisional figure","2019","12788","3"
"Panama","2019","Total","Both Sexes","78","Estimate - de facto","Provisional figure","2019","11868","3"
"Panama","2019","Total","Both Sexes","79","Estimate - de facto","Provisional figure","2019","10971","3"
"Panama","2019","Total","Both Sexes","80","Estimate - de facto","Provisional figure","2019","10101","3"
"Panama","2019","Total","Both Sexes","80 - 84","Estimate - de facto","Provisional figure","2019","42357","3"
"Panama","2019","Total","Both Sexes","81","Estimate - de facto","Provisional figure","2019","9257","3"
"Panama","2019","Total","Both Sexes","82","Estimate - de facto","Provisional figure","2019","8440","3"
"Panama","2019","Total","Both Sexes","83","Estimate - de facto","Provisional figure","2019","7656","3"
"Panama","2019","Total","Both Sexes","84","Estimate - de facto","Provisional figure","2019","6903","3"
"Panama","2019","Total","Both Sexes","85","Estimate - de facto","Provisional figure","2019","6184","3"
"Panama","2019","Total","Both Sexes","85 - 89","Estimate - de facto","Provisional figure","2019","24542","3"
"Panama","2019","Total","Both Sexes","85 +","Estimate - de facto","Provisional figure","2019","41200","3"
"Panama","2019","Total","Both Sexes","86","Estimate - de facto","Provisional figure","2019","5506","3"
"Panama","2019","Total","Both Sexes","87","Estimate - de facto","Provisional figure","2019","4868","3"
"Panama","2019","Total","Both Sexes","88","Estimate - de facto","Provisional figure","2019","4271","3"
"Panama","2019","Total","Both Sexes","89","Estimate - de facto","Provisional figure","2019","3713","3"
"Panama","2019","Total","Both Sexes","90","Estimate - de facto","Provisional figure","2019","3197","3"
"Panama","2019","Total","Both Sexes","90 - 94","Estimate - de facto","Provisional figure","2019","11699","3"
"Panama","2019","Total","Both Sexes","91","Estimate - de facto","Provisional figure","2019","2725","3"
"Panama","2019","Total","Both Sexes","92","Estimate - de facto","Provisional figure","2019","2296","3"
"Panama","2019","Total","Both Sexes","93","Estimate - de facto","Provisional figure","2019","1912","3"
"Panama","2019","Total","Both Sexes","94","Estimate - de facto","Provisional figure","2019","1569","3"
"Panama","2019","Total","Both Sexes","95","Estimate - de facto","Provisional figure","2019","1270","3"
"Panama","2019","Total","Both Sexes","95 - 99","Estimate - de facto","Provisional figure","2019","4143","3"
"Panama","2019","Total","Both Sexes","96","Estimate - de facto","Provisional figure","2019","1012","3"
"Panama","2019","Total","Both Sexes","97","Estimate - de facto","Provisional figure","2019","793","3"
"Panama","2019","Total","Both Sexes","98","Estimate - de facto","Provisional figure","2019","609","3"
"Panama","2019","Total","Both Sexes","99","Estimate - de facto","Provisional figure","2019","459","3"
"Panama","2019","Total","Both Sexes","100 +","Estimate - de facto","Provisional figure","2019","816","3"
"Saint Vincent and the Grenadines","2019","Total","Both Sexes","Total","Estimate - de jure","Final figure, complete","2019","110607.636363636",""
"Saint Vincent and the Grenadines","2019","Total","Both Sexes","0","Estimate - de jure","Final figure, complete","2019","1585.12397736045",""
"Saint Vincent and the Grenadines","2019","Total","Both Sexes","0 - 4","Estimate - de jure","Final figure, complete","2019","8755.97339691",""
"Saint Vincent and the Grenadines","2019","Total","Both Sexes","1 - 4","Estimate - de jure","Final figure, complete","2019","7170.84941954955",""
"Saint Vincent and the Grenadines","2019","Total","Both Sexes","5 - 9","Estimate - de jure","Final figure, complete","2019","8630.32335778118",""
"Saint Vincent and the Grenadines","2019","Total","Both Sexes","10 - 14","Estimate - de jure","Final figure, complete","2019","9888.19172049291",""
"Saint Vincent and the Grenadines","2019","Total","Both Sexes","15 - 19","Estimate - de jure","Final figure, complete","2019","10041.0448824398",""
"Saint Vincent and the Grenadines","2019","Total","Both Sexes","20 - 24","Estimate - de jure","Final figure, complete","2019","8718.48392908989",""
"Saint Vincent and the Grenadines","2019","Total","Both Sexes","25 - 29","Estimate - de jure","Final figure, complete","2019","8425.07815306018",""
"Saint Vincent and the Grenadines","2019","Total","Both Sexes","30 - 34","Estimate - de jure","Final figure, complete","2019","7963.31253291474",""
"Saint Vincent and the Grenadines","2019","Total","Both Sexes","35 - 39","Estimate - de jure","Final figure, complete","2019","7651.1396637883",""
"Saint Vincent and the Grenadines","2019","Total","Both Sexes","40 - 44","Estimate - de jure","Final figure, complete","2019","7250.25898691114",""
"Saint Vincent and the Grenadines","2019","Total","Both Sexes","45 - 49","Estimate - de jure","Final figure, complete","2019","7564.13043613642",""
"Saint Vincent and the Grenadines","2019","Total","Both Sexes","50 - 54","Estimate - de jure","Final figure, complete","2019","6634.90672160879",""
"Saint Vincent and the Grenadines","2019","Total","Both Sexes","55 - 59","Estimate - de jure","Final figure, complete","2019","5097.80710227366",""
"Saint Vincent and the Grenadines","2019","Total","Both Sexes","60 - 64","Estimate - de jure","Final figure, complete","2019","3871.12012206841",""
"Saint Vincent and the Grenadines","2019","Total","Both Sexes","65 - 69","Estimate - de jure","Final figure, complete","2019","2878.13440220526",""
"Saint Vincent and the Grenadines","2019","Total","Both Sexes","70 - 74","Estimate - de jure","Final figure, complete","2019","2568.83316748374",""
"Saint Vincent and the Grenadines","2019","Total","Both Sexes","75 - 79","Estimate - de jure","Final figure, complete","2019","2002.98373048879",""
"Saint Vincent and the Grenadines","2019","Total","Both Sexes","80 - 84","Estimate - de jure","Final figure, complete","2019","1460.55690725358",""
"Saint Vincent and the Grenadines","2019","Total","Both Sexes","85 +","Estimate - de jure","Final figure, complete","2019","1205.35715072963",""
"Uruguay","2019","Total","Both Sexes","Total","Estimate - de jure","Final figure, complete","2019","3518552.48924984","11"
"Uruguay","2019","Total","Both Sexes","0","Estimate - de jure","Final figure, complete","2019","45235.0674940543","11"
"Uruguay","2019","Total","Both Sexes","0 - 4","Estimate - de jure","Final figure, complete","2019","227572.284597773","11"
"Uruguay","2019","Total","Both Sexes","1","Estimate - de jure","Final figure, complete","2019","45359.9670243238","11"
"Uruguay","2019","Total","Both Sexes","1 - 4","Estimate - de jure","Final figure, complete","2019","182337.217103719","11"
"Uruguay","2019","Total","Both Sexes","2","Estimate - de jure","Final figure, complete","2019","45508.1792197474","11"
"Uruguay","2019","Total","Both Sexes","3","Estimate - de jure","Final figure, complete","2019","45660.4724733772","11"
"Uruguay","2019","Total","Both Sexes","4","Estimate - de jure","Final figure, complete","2019","45808.5983862704","11"
"Uruguay","2019","Total","Both Sexes","5","Estimate - de jure","Final figure, complete","2019","45952.9758073634","11"
"Uruguay","2019","Total","Both Sexes","5 - 9","Estimate - de jure","Final figure, complete","2019","231825.577422355","11"
"Uruguay","2019","Total","Both Sexes","6","Estimate - de jure","Final figure, complete","2019","46097.8498412254","11"
"Uruguay","2019","Total","Both Sexes","7","Estimate - de jure","Final figure, complete","2019","46221.8167632033","11"
"Uruguay","2019","Total","Both Sexes","8","Estimate - de jure","Final figure, complete","2019","46669.5877434805","11"
"Uruguay","2019","Total","Both Sexes","9","Estimate - de jure","Final figure, complete","2019","46883.3472670824","11"
"Uruguay","2019","Total","Both Sexes","10","Estimate - de jure","Final figure, complete","2019","47121.7999291131","11"
"Uruguay","2019","Total","Both Sexes","10 - 14","Estimate - de jure","Final figure, complete","2019","239596.903648607","11"
"Uruguay","2019","Total","Both Sexes","11","Estimate - de jure","Final figure, complete","2019","47335.2772703077","11"
"Uruguay","2019","Total","Both Sexes","12","Estimate - de jure","Final figure, complete","2019","47640.0110425651","11"
"Uruguay","2019","Total","Both Sexes","13","Estimate - de jure","Final figure, complete","2019","48263.1105086659","11"
"Uruguay","2019","Total","Both Sexes","14","Estimate - de jure","Final figure, complete","2019","49236.7048979558","11"
"Uruguay","2019","Total","Both Sexes","15","Estimate - de jure","Final figure, complete","2019","50232.9437240785","11"
"Uruguay","2019","Total","Both Sexes","15 - 19","Estimate - de jure","Final figure, complete","2019","256938.720666993","11"
"Uruguay","2019","Total","Both Sexes","16","Estimate - de jure","Final figure, complete","2019","50941.191603253","11"
"Uruguay","2019","Total","Both Sexes","17","Estimate - de jure","Final figure, complete","2019","51440.8727726619","11"
"Uruguay","2019","Total","Both Sexes","18","Estimate - de jure","Final figure, complete","2019","51914.6364869679","11"
"Uruguay","2019","Total","Both Sexes","19","Estimate - de jure","Final figure, complete","2019","52409.0760800322","11"
"Uruguay","2019","Total","Both Sexes","20","Estimate - de jure","Final figure, complete","2019","53051.5569830644","11"
"Uruguay","2019","Total","Both Sexes","20 - 24","Estimate - de jure","Final figure, complete","2019","271388.649261865","11"
"Uruguay","2019","Total","Both Sexes","21","Estimate - de jure","Final figure, complete","2019","53958.0123780576","11"
"Uruguay","2019","Total","Both Sexes","22","Estimate - de jure","Final figure, complete","2019","54830.3117805385","11"
"Uruguay","2019","Total","Both Sexes","23","Estimate - de jure","Final figure, complete","2019","55089.475967385","11"
"Uruguay","2019","Total","Both Sexes","24","Estimate - de jure","Final figure, complete","2019","54459.2921528192","11"
"Uruguay","2019","Total","Both Sexes","25","Estimate - de jure","Final figure, complete","2019","53197.5834817003","11"
"Uruguay","2019","Total","Both Sexes","25 - 29","Estimate - de jure","Final figure, complete","2019","257616.624350652","11"
"Uruguay","2019","Total","Both Sexes","26","Estimate - de jure","Final figure, complete","2019","51900.9215438018","11"
"Uruguay","2019","Total","Both Sexes","27","Estimate - de jure","Final figure, complete","2019","51087.0974478912","11"
"Uruguay","2019","Total","Both Sexes","28","Estimate - de jure","Final figure, complete","2019","50792.3162952022","11"
"Uruguay","2019","Total","Both Sexes","29","Estimate - de jure","Final figure, complete","2019","50638.705582056","11"
"Uruguay","2019","Total","Both Sexes","30","Estimate - de jure","Final figure, complete","2019","50306.8440258072","11"
"Uruguay","2019","Total","Both Sexes","30 - 34","Estimate - de jure","Final figure, complete","2019","245771.710338887","11"
"Uruguay","2019","Total","Both Sexes","31","Estimate - de jure","Final figure, complete","2019","49783.0510044266","11"
"Uruguay","2019","Total","Both Sexes","32","Estimate - de jure","Final figure, complete","2019","49187.641718532","11"
"Uruguay","2019","Total","Both Sexes","33","Estimate - de jure","Final figure, complete","2019","48564.2174803509","11"
"Uruguay","2019","Total","Both Sexes","34","Estimate - de jure","Final figure, complete","2019","47929.9561097702","11"
"Uruguay","2019","Total","Both Sexes","35","Estimate - de jure","Final figure, complete","2019","47403.5081340085","11"
"Uruguay","2019","Total","Both Sexes","35 - 39","Estimate - de jure","Final figure, complete","2019","237062.568341329","11"
"Uruguay","2019","Total","Both Sexes","36","Estimate - de jure","Final figure, complete","2019","47141.2426525837","11"
"Uruguay","2019","Total","Both Sexes","37","Estimate - de jure","Final figure, complete","2019","47160.6291293469","11"
"Uruguay","2019","Total","Both Sexes","38","Estimate - de jure","Final figure, complete","2019","47423.4158311721","11"
"Uruguay","2019","Total","Both Sexes","39","Estimate - de jure","Final figure, complete","2019","47933.7725942174","11"
"Uruguay","2019","Total","Both Sexes","40","Estimate - de jure","Final figure, complete","2019","48573.9490280874","11"
"Uruguay","2019","Total","Both Sexes","40 - 44","Estimate - de jure","Final figure, complete","2019","241209.175227647","11"
"Uruguay","2019","Total","Both Sexes","41","Estimate - de jure","Final figure, complete","2019","49021.2536656909","11"
"Uruguay","2019","Total","Both Sexes","42","Estimate - de jure","Final figure, complete","2019","48903.9277467355","11"
"Uruguay","2019","Total","Both Sexes","43","Estimate - de jure","Final figure, complete","2019","48052.9937026349","11"
"Uruguay","2019","Total","Both Sexes","44","Estimate - de jure","Final figure, complete","2019","46657.0510844985","11"
"Uruguay","2019","Total","Both Sexes","45","Estimate - de jure","Final figure, complete","2019","45232.4201997464","11"
"Uruguay","2019","Total","Both Sexes","45 - 49","Estimate - de jure","Final figure, complete","2019","219035.23630368","11"
"Uruguay","2019","Total","Both Sexes","46","Estimate - de jure","Final figure, complete","2019","44259.0346359807","11"
"Uruguay","2019","Total","Both Sexes","47","Estimate - de jure","Final figure, complete","2019","43746.0840215768","11"
"Uruguay","2019","Total","Both Sexes","48","Estimate - de jure","Final figure, complete","2019","43294.899791781","11"
"Uruguay","2019","Total","Both Sexes","49","Estimate - de jure","Final figure, complete","2019","42502.7976545954","11"
"Uruguay","2019","Total","Both Sexes","50","Estimate - de jure","Final figure, complete","2019","41338.2067526509","11"
"Uruguay","2019","Total","Both Sexes","50 - 54","Estimate - de jure","Final figure, complete","2019","201497.944403392","11"
"Uruguay","2019","Total","Both Sexes","51","Estimate - de jure","Final figure, complete","2019","40224.8488649385","11"
"Uruguay","2019","Total","Both Sexes","52","Estimate - de jure","Final figure, complete","2019","39690.8051890995","11"
"Uruguay","2019","Total","Both Sexes","53","Estimate - de jure","Final figure, complete","2019","39859.0427956632","11"
"Uruguay","2019","Total","Both Sexes","54","Estimate - de jure","Final figure, complete","2019","40385.0408010395","11"
"Uruguay","2019","Total","Both Sexes","55","Estimate - de jure","Final figure, complete","2019","40818.1294030198","11"
"Uruguay","2019","Total","Both Sexes","55 - 59","Estimate - de jure","Final figure, complete","2019","200537.40459619","11"
"Uruguay","2019","Total","Both Sexes","56","Estimate - de jure","Final figure, complete","2019","40875.676541457","11"
"Uruguay","2019","Total","Both Sexes","57","Estimate - de jure","Final figure, complete","2019","40469.6030149822","11"
"Uruguay","2019","Total","Both Sexes","58","Estimate - de jure","Final figure, complete","2019","39666.9580341342","11"
"Uruguay","2019","Total","Both Sexes","59","Estimate - de jure","Final figure, complete","2019","38707.0376025965","11"
"Uruguay","2019","Total","Both Sexes","60","Estimate - de jure","Final figure, complete","2019","37868.3345280334","11"
"Uruguay","2019","Total","Both Sexes","60 - 64","Estimate - de jure","Final figure, complete","2019","181229.125854114","11"
"Uruguay","2019","Total","Both Sexes","61","Estimate - de jure","Final figure, complete","2019","37205.4087962514","11"
"Uruguay","2019","Total","Both Sexes","62","Estimate - de jure","Final figure, complete","2019","36521.9689203428","11"
"Uruguay","2019","Total","Both Sexes","63","Estimate - de jure","Final figure, complete","2019","35531.1636121856","11"
"Uruguay","2019","Total","Both Sexes","64","Estimate - de jure","Final figure, complete","2019","34102.2499973005","11"
"Uruguay","2019","Total","Both Sexes","65","Estimate - de jure","Final figure, complete","2019","32452.0343798808","11"
"Uruguay","2019","Total","Both Sexes","65 - 69","Estimate - de jure","Final figure, complete","2019","149253.70045288","11"
"Uruguay","2019","Total","Both Sexes","66","Estimate - de jure","Final figure, complete","2019","30936.6880258423","11"
"Uruguay","2019","Total","Both Sexes","67","Estimate - de jure","Final figure, complete","2019","29691.9203255102","11"
"Uruguay","2019","Total","Both Sexes","68","Estimate - de jure","Final figure, complete","2019","28615.0607424287","11"
"Uruguay","2019","Total","Both Sexes","69","Estimate - de jure","Final figure, complete","2019","27557.9969792184","11"
"Uruguay","2019","Total","Both Sexes","70","Estimate - de jure","Final figure, complete","2019","26532.8707459824","11"
"Uruguay","2019","Total","Both Sexes","70 - 74","Estimate - de jure","Final figure, complete","2019","123034.032196884","11"
"Uruguay","2019","Total","Both Sexes","71","Estimate - de jure","Final figure, complete","2019","25597.8841753004","11"
"Uruguay","2019","Total","Both Sexes","72","Estimate - de jure","Final figure, complete","2019","24692.7491525044","11"
"Uruguay","2019","Total","Both Sexes","73","Estimate - de jure","Final figure, complete","2019","23689.8100224168","11"
"Uruguay","2019","Total","Both Sexes","74","Estimate - de jure","Final figure, complete","2019","22520.7181006802","11"
"Uruguay","2019","Total","Both Sexes","75","Estimate - de jure","Final figure, complete","2019","21294.9356543924","11"
"Uruguay","2019","Total","Both Sexes","75 - 79","Estimate - de jure","Final figure, complete","2019","95904.8458697963","11"
"Uruguay","2019","Total","Both Sexes","76","Estimate - de jure","Final figure, complete","2019","20183.9399215446","11"
"Uruguay","2019","Total","Both Sexes","77","Estimate - de jure","Final figure, complete","2019","19191.2474571252","11"
"Uruguay","2019","Total","Both Sexes","78","Estimate - de jure","Final figure, complete","2019","18168.0227551627","11"
"Uruguay","2019","Total","Both Sexes","79","Estimate - de jure","Final figure, complete","2019","17066.7000815714","11"
"Uruguay","2019","Total","Both Sexes","80","Estimate - de jure","Final figure, complete","2019","15918.0120535709","11"
"Uruguay","2019","Total","Both Sexes","80 - 84","Estimate - de jure","Final figure, complete","2019","69196.5680607174","11"
"Uruguay","2019","Total","Both Sexes","81","Estimate - de jure","Final figure, complete","2019","14824.1120695293","11"
"Uruguay","2019","Total","Both Sexes","82","Estimate - de jure","Final figure, complete","2019","13825.3019976274","11"
"Uruguay","2019","Total","Both Sexes","83","Estimate - de jure","Final figure, complete","2019","12820.6992367804","11"
"Uruguay","2019","Total","Both Sexes","84","Estimate - de jure","Final figure, complete","2019","11808.4427032095","11"
"Uruguay","2019","Total","Both Sexes","85","Estimate - de jure","Final figure, complete","2019","10857.8196239982","11"
"Uruguay","2019","Total","Both Sexes","85 - 89","Estimate - de jure","Final figure, complete","2019","44594.3023456057","11"
"Uruguay","2019","Total","Both Sexes","86","Estimate - de jure","Final figure, complete","2019","9937.72231965794","11"
"Uruguay","2019","Total","Both Sexes","87","Estimate - de jure","Final figure, complete","2019","8998.12365658331","11"
"Uruguay","2019","Total","Both Sexes","88","Estimate - de jure","Final figure, complete","2019","7962.44214922935","11"
"Uruguay","2019","Total","Both Sexes","89","Estimate - de jure","Final figure, complete","2019","6838.19459613703","11"
"Uruguay","2019","Total","Both Sexes","90 +","Estimate - de jure","Final figure, complete","2019","25287.1153104741","11"
"Venezuela (Bolivarian Republic of)","2019","Total","Both Sexes","Total","Estimate - de facto","Final figure, complete","2019","32064741",""
"Venezuela (Bolivarian Republic of)","2019","Total","Both Sexes","0","Estimate - de facto","Final figure, complete","2019","552619",""
"Venezuela (Bolivarian Republic of)","2019","Total","Both Sexes","0 - 4","Estimate - de facto","Final figure, complete","2019","2710310",""
"Venezuela (Bolivarian Republic of)","2019","Total","Both Sexes","1","Estimate - de facto","Final figure, complete","2019","535840",""
"Venezuela (Bolivarian Republic of)","2019","Total","Both Sexes","1 - 4","Estimate - de facto","Final figure, complete","2019","2157691",""
"Venezuela (Bolivarian Republic of)","2019","Total","Both Sexes","2","Estimate - de facto","Final figure, complete","2019","538277",""
"Venezuela (Bolivarian Republic of)","2019","Total","Both Sexes","3","Estimate - de facto","Final figure, complete","2019","540604",""
"Venezuela (Bolivarian Republic of)","2019","Total","Both Sexes","4","Estimate - de facto","Final figure, complete","2019","542970",""
"Venezuela (Bolivarian Republic of)","2019","Total","Both Sexes","5","Estimate - de facto","Final figure, complete","2019","545265",""
"Venezuela (Bolivarian Republic of)","2019","Total","Both Sexes","5 - 9","Estimate - de facto","Final figure, complete","2019","2748508",""
"Venezuela (Bolivarian Republic of)","2019","Total","Both Sexes","6","Estimate - de facto","Final figure, complete","2019","547553",""
"Venezuela (Bolivarian Republic of)","2019","Total","Both Sexes","7","Estimate - de facto","Final figure, complete","2019","549750",""
"Venezuela (Bolivarian Republic of)","2019","Total","Both Sexes","8","Estimate - de facto","Final figure, complete","2019","551882",""
"Venezuela (Bolivarian Republic of)","2019","Total","Both Sexes","9","Estimate - de facto","Final figure, complete","2019","554058",""
"Venezuela (Bolivarian Republic of)","2019","Total","Both Sexes","10","Estimate - de facto","Final figure, complete","2019","556047",""
"Venezuela (Bolivarian Republic of)","2019","Total","Both Sexes","10 - 14","Estimate - de facto","Final figure, complete","2019","2791506",""
"Venezuela (Bolivarian Republic of)","2019","Total","Both Sexes","11","Estimate - de facto","Final figure, complete","2019","557675",""
"Venezuela (Bolivarian Republic of)","2019","Total","Both Sexes","12","Estimate - de facto","Final figure, complete","2019","558936",""
